a1_vault_menendez_1,0.2,3,^1Guard: ^7Security...Rise and shine Woods...
a1_vault_menendez_2,4,5.2,^1Woods: ^7Now that's an entrance. 
a1_vault_menendez_2,6.1,9,^1Woods: ^7Started thinking you weren't gonna make it.
a1_vault_menendez_3,1.1,3.2,"^1Menendez: ^7Mi hermana, Josefina."
a1_vault_menendez_3,7.2,11,^1Woods: ^7Yeah...I've been waiting for this.
a1_vault_menendez_4,1,3.2,^1Menendez: ^7She survived the fire...
a1_vault_menendez_4,5,7,^1Menendez: ^7...for me.
a1_vault_menendez_4,8,10.2,^1Menendez: ^7I didn't leave her.
a1_vault_menendez_5,0.1,1.2,^1Menendez: ^7You took her from me.
a1_vault_menendez_5,2.1,4.1,^1Woods: ^7What'd you learn from that?
a1_vault_menendez_5,5.1,6.1,^1Menendez: ^7What did I learn?
a1_vault_menendez_6,13.2,15.2,^1Menendez: ^7Cordis Die.
a2_vault_jr_dead,1,2,^1Woods: ^7Do not enter...
a2_vault_jr_dead,2.2,6,"^1Woods: ^7I swear to God, I will shove this wheelchair right up y-"
a2_vault_jr_dead,6.1,7.2,^1Mason: ^7...Ass.
a2_vault_jr_dead,10.1,13.1,"^1Mason: ^7Hey Woods, you look like hammered shit."
a2_vault_jr_dead,14,15.1,^1Woods: ^7You stay right there.
a2_vault_jr_dead,21,24.2,^1Woods: ^7Mason...I shot you!
a2_vault_jr_dead,28.2,30.2,^1Mason: ^7Turns out you're a lousy shot.
a2_vault_jr_dead,31.2,36.1,^1Woods: ^7My ass.  Where the fuck you been for thirty years?
a2_vault_reunite_1,0.7,2.1,^1Section: ^7David Mason for Sgt. Woods. 
a2_vault_reunite_1,2.2,3.8,^1Guard: ^7Another Mason?
a2_vault_reunite_1,4.8,7.2,^1Section: ^7Oh fuck...Secure the building!
a2_vault_reunite_2,1,3.2,"^1Woods: ^7Hey kid, come on."
a2_vault_reunite_2,2.1,3.1,"^1Section: ^7Jesus, Frank..."
a2_vault_reunite_3,0.1,2,^1Woods: ^7I'll introduce you to somebody.
a2_vault_reunite_3,2.1,4.1,^1Woods: ^7Al this is Dave. Dave... 
a2_vault_reunite_3,4.1,5,^1Section: ^7How ya doin'...
a2_vault_reunite_3,5.1,8.1,^1Woods: ^7...this is your dad!
a2_vault_reunite_4,3.2,5.2,^1Section: ^7Dad?...
a2_vault_reunite_5,4,7.1,^1David: ^7Dad...No...DAD!
a2_vault_reunite_6,4.9,6.1,^1Section: ^7What the fuck...?
a2_vault_reunite_6,6.2,11,"^1Woods: ^7Ahh, you're a couple of fucking broads, work this shit out on your own. Need some smokes..."
a2_vault_reunite_6,11.1,14.2,"^1Woods: ^7Nurse Batshit, where's my smokes?!"
a2_vault_reunite_7,0.1,2.2,^1Mason: ^7Still got that scar?
a2_vault_reunite_7,6.1,8.2,^1Mason: ^7You made me proud that day.
a2_vault_reunite_7,10.1,12.1,^1Section: ^7I fell...
a2_vault_reunite_7,13,16,^1Mason: ^7Yeah...but you got back up.
a3_grave_jr_alive_3,0.1,1.2,^1Section: ^7I get it now.
a3_grave_jr_alive_3,3.1,5.1,^1Woods: ^7He loved you kid.
a3_grave_jr_alive_3,6.1,8,^1Section: ^7I know.
a3_grave_jr_alive_4,0.1,4.1,^1Woods: ^7This is the price we pay for what we do.
a3_grave_jr_alive_6,1.1,3.2,"^1Section: ^7I'm done, Sarge."
a3_grave_jr_alive_6,5.1,6.2,^1Woods: ^7Good...
a3_grave_jr_alive_7,1.2,4,^1Woods: ^7...he's happy to hear that.
a3_grave_jr_alive_7,5.2,7.4,"^1Section: ^7You talking to the dead now, Sarge?"
a3_grave_jr_alive_7,8,12.5,^1Woods: ^7Nah. They talk to me
a7x,7.3,10.1,^1Woods: ^7Hey! I got it!
a7x,14.1,16,^1Woods: ^7Hah?! What do ya think?!
a7x,16.1,18,^1Menendez: ^7Hijo de puta...
a7x,18.2,20.1,^1Menendez: ^7I've been practicing this all fucking week...
a7x,20.2,22,"^1Woods: ^7Hey, what's going on, man?"
a7x,22.1,25.2,^1Menendez: ^7Sarge...I get nervous when I go on stage.  
a7x,26,29.3,"^1Menendez: ^7My...my mind, it...it draws a blank. I feel like I want to throw up."
a7x,30.1,37.1,"^1Woods: ^7Dezzy, we talked about this already, right? You gotta let that Cordis Die shit go, man!"
a7x,37.2,41,"^1Woods: ^7Ahh...come on, dude, come on...breathe! You gotta breathe!"
a7x,41.3,43,^1Menendez: ^7Ah sh...
a7x,43.1,46.1,^1M. Shadows: ^7Menendez! What the fuck are you doing?!
a7x,46.2,48.2,^1Menendez: ^7I...I've been...practicing so hard...
a7x,49.1,54.3,"^1Synyster Gates: ^7Hey, goddamnit! Our fans are expecting a killer show tonight, so DO NOT fuck this up."
a7x,56.2,59.6,"^1M. Shadows: ^7Hey, old timer, you ready to rock?"
a7x,61.1,63.1,"^1Woods: ^7I'm ready to ROLL, baby!"
a7x,63.2,64.2,^1Menendez: ^7What the fuck?!
a7x,64.3,69,"^1Woods: ^7Oh that shit? Nah, I'm just fucking lazy.  Let's go kill this thing!"
